"","season","round_number","team","elo"
"230",2000,15,"Melbourne",1507.16907004937
"231",2000,15,"Western Bulldogs",1520.40199270698
"232",2000,15,"North Melbourne",1527.947462393
"233",2000,15,"Port Adelaide",1412.51292447547
"234",2000,15,"Richmond",1560.8790746674
"235",2000,15,"Collingwood",1370.26894493888
"236",2000,15,"St Kilda",1339.23611894076
"237",2000,15,"Fremantle",1368.21398245865
"238",2000,15,"Sydney",1487.458144107
"239",2000,15,"Essendon",1745.63447911492
"240",2000,15,"West Coast",1432.41326671363
"241",2000,16,"Western Bulldogs",1525.25728024258
"242",2000,16,"Adelaide",1551.94773012279
"243",2000,16,"Brisbane Lions",1573.25393501568
"244",2000,16,"Carlton",1675.57396139661
"245",2000,16,"Port Adelaide",1452.80115624926
"246",2000,16,"Essendon",1743.51440216437
"247",2000,16,"Geelong",1469.41135292701
"248",2000,16,"Fremantle",1404.95803941179
"249",2000,16,"Collingwood",1393.81691385295
"250",2000,16,"Hawthorn",1483.10571498358
"251",2000,16,"West Coast",1434.53334366418
"252",2000,16,"North Melbourne",1523.0921748574
"253",2000,16,"Melbourne",1546.45952429007
"254",2000,16,"Richmond",1520.59084289362
"255",2000,16,"Sydney",1450.71408715387
"256",2000,16,"St Kilda",1315.68815002669
"257",2000,17,"Hawthorn",1508.67194497332
"258",2000,17,"Carlton",1696.14304290894
"259",2000,17,"Adelaide",1512.49830698715
"260",2000,17,"Collingwood",1368.25068386321
"261",2000,17,"Richmond",1513.7668470852
"262",2000,17,"Essendon",1742.14436154083
"263",2000,17,"St Kilda",1306.32078464878
"264",2000,17,"Geelong",1468.03026054053
"265",2000,17,"North Melbourne",1549.4942797443
"266",2000,17,"Melbourne",1553.28352009849
"267",2000,17,"Fremantle",1406.33913179827
"268",2000,17,"Port Adelaide",1454.1711968728
"269",2000,17,"Sydney",1460.08145253177
"270",2000,17,"West Coast",1408.13123877727
"271",2000,17,"Brisbane Lions",1552.68485350336
"272",2000,17,"Western Bulldogs",1564.70670337822
"273",2000,18,"Geelong",1429.16806318924
"274",2000,18,"Adelaide",1526.37521199778
"275",2000,18,"Carlton",1712.061581132
"276",2000,18,"Collingwood",1354.37377885259
"277",2000,18,"Essendon",1758.57170670716
"278",2000,18,"Fremantle",1428.68743226243
"279",2000,18,"Brisbane Lions",1589.69386263653
"280",2000,18,"Hawthorn",1492.75340675025
"281",2000,18,"North Melbourne",1550.93030658446
"282",2000,18,"Richmond",1497.33950191887
"283",2000,18,"West Coast",1376.30185550285
"284",2000,18,"St Kilda",1345.18298200007
"285",2000,18,"Melbourne",1551.84749325832
"286",2000,18,"Sydney",1491.91083580619
"287",2000,18,"Port Adelaide",1431.82289640864
"288",2000,18,"Western Bulldogs",1527.69769424505
"289",2000,19,"Essendon",1767.97035773192
"290",2000,19,"Hawthorn",1520.50917112381
"291",2000,19,"St Kilda",1309.82707829786
"292",2000,19,"Melbourne",1567.88147717319
"293",2000,19,"Geelong",1447.00570034831
"294",2000,19,"North Melbourne",1583.22168279092
"295",2000,19,"Brisbane Lions",1561.93809826297
"296",2000,19,"Port Adelaide",1474.24249645404
"297",2000,19,"Fremantle",1419.28878123766
"298",2000,19,"Richmond",1465.04812571241
"299",2000,19,"Collingwood",1345.63201278297
"300",2000,19,"Sydney",1475.87685189133
"301",2000,19,"Adelaide",1508.53757483871
"302",2000,19,"West Coast",1411.65775920506
